timestamp,humidity,temperature
1996-11-01-11:00,27,30
1996-11-01-12:00,32,28
1996-11-01-13:00,44,24
1996-11-01-14:00,41,24
1996-11-01-16:00,47,23
1996-11-01-17:00,56,21
1996-11-01-18:00,60,21
1996-11-01-19:00,60,21
1996-11-01-20:00,68,19
1996-11-01-21:00,68,19
1996-11-01-22:00,68,19
1996-11-01-23:00,64,19
1996-11-02-00:00,60,19
1996-11-02-01:00,60,19
1996-11-02-02:00,52,20
1996-11-02-03:00,46,22
1996-11-02-04:00,44,23
1996-11-02-05:00,39,26
1996-11-02-06:00,32,28
1996-11-02-07:00,29,30
1996-11-02-08:00,24,31
1996-11-02-09:00,22,31
1996-11-02-10:00,22,31
1996-11-02-11:00,25,30
1996-11-02-12:00,34,27
1996-11-02-13:00,41,25
1996-11-02-14:00,53,22
1996-11-02-15:00,56,21
1996-11-02-16:00,64,19
1996-11-02-17:00,60,20
1996-11-02-18:00,64,19
1996-11-02-19:00,60,19
1996-11-02-20:00,68,17
1996-11-02-21:00,68,17
1996-11-02-22:00,72,17
1996-11-02-23:00,72,17
1996-11-03-00:00,68,17
1996-11-03-01:00,72,16
1996-11-03-02:00,63,17
1996-11-03-03:00,64,19
1996-11-03-04:00,53,22
1996-11-03-05:00,60,22
1996-11-03-06:00,44,26
1996-11-03-07:00,30,28
1996-11-03-08:00,35,28
1996-11-03-09:00,33,29
1996-11-03-10:00,33,29
1996-11-03-11:00,39,27
1996-11-03-12:00,42,26
1996-11-03-13:00,60,22
1996-11-03-14:00,57,22
1996-11-03-15:00,60,21
1996-11-03-16:00,56,21
1996-11-03-17:00,64,20
1996-11-03-18:00,60,20
1996-11-03-19:00,64,19
1996-11-03-20:00,68,19
1996-11-03-21:00,64,19
1996-11-03-22:00,77,17
1996-11-03-23:00,77,17
1996-11-04-00:00,68,18
1996-11-04-01:00,77,15
1996-11-04-02:00,68,17
1996-11-04-03:00,60,20
1996-11-04-05:00,42,26
1996-11-04-06:00,37,28
1996-11-04-07:00,32,28
1996-11-04-08:00,27,29
1996-11-04-09:00,29,29
1996-11-04-10:00,25,29
1996-11-04-11:00,34,27
1996-11-04-12:00,39,25
1996-11-04-13:00,44,23
1996-11-04-16:00,46,21
1996-11-04-17:00,46,21
1996-11-04-18:00,59,18
1996-11-04-19:00,64,18
1996-11-04-21:00,68,17
1996-11-05-04:00,38,24
1996-11-05-05:00,34,26
1996-11-05-06:00,27,29
1996-11-05-07:00,23,30
1996-11-05-08:00,25,30
1996-11-06-07:00,30,28
1996-11-06-08:00,25,29
1996-11-06-09:00,27,29
1996-11-06-10:00,22,29
1996-11-06-11:00,26,28
1996-11-06-12:00,32,25
1996-11-06-13:00,36,24
1996-11-06-14:00,52,20
1996-11-06-15:00,56,19
1996-11-06-17:00,56,19
1996-11-06-18:00,56,19
1996-11-06-19:00,59,18
1996-11-06-20:00,68,17
1996-11-06-21:00,72,16
1996-11-06-22:00,72,16
1996-11-06-23:00,77,15
1996-11-07-00:00,77,15
1996-11-07-01:00,68,17
1996-11-07-02:00,59,18
1996-11-07-03:00,64,19
1996-11-07-04:00,53,23
1996-11-07-05:00,47,25
