no,datetime_utc,dewp,humi,press,temp
1,19961101-12:00,10,32,-9999,28
2,19961102-12:00,10,34,1009,27
3,19961103-12:00,12,42,1010,26
4,19961104-12:00,10,39,1010,25
5,19961106-12:00,7,32,1011,25
6,19961107-12:00,9,36,1013,25
7,19961108-12:00,9,41,1014,23
8,19961109-12:00,7,32,1013,25
9,19961110-12:00,6,33,1011,23
10,19961111-12:00,7,34,1011,24
11,19961112-12:00,8,34,1011,25
12,19961113-12:00,13,47,1011,25
13,19961114-12:00,8,36,1016,24
14,19961115-12:00,7,38,1019,22
15,19961116-12:00,2,27,-9999,22
16,19961117-12:00,2,27,1017,22
17,19961118-12:00,6,38,1017,21
18,19961119-12:00,5,40,1016,19
19,19961120-12:00,13,60,1016,21
20,19961121-12:00,13,64,1015,20
21,19961122-12:00,5,40,1014,19
22,19961123-12:00,6,43,1014,19
23,19961124-12:00,4,37,1013,19
24,19961125-12:00,5,37,1013,20
25,19961126-12:00,8,43,1014,21
26,19961127-12:00,6,38,1013,21
27,19961128-12:00,3,33,1013,20
28,19961201-12:00,4,40,1015,18
29,19961202-12:00,3,39,1014,17
30,19961203-12:00,10,59,1016,18
31,19961205-12:00,6,43,1014,19
32,19961206-12:00,4,40,1017,18
33,19961207-12:00,1,39,1019,15
34,19961208-12:00,-4,25,1017,16
35,19961209-12:00,-3,29,1016,15
36,19961210-12:00,-5,22,1016,17
37,19961211-12:00,0,34,1016,16
38,19961213-12:00,2,39,1016,16
39,19961214-12:00,4,45,1014,16
40,19961215-12:00,3,42,1012,16
41,19961216-12:00,4,48,1015,15
42,19961218-12:00,3,42,1017,16
43,19961219-12:00,5,51,1018,15
44,19961220-12:00,11,77,1018,15
45,19961221-12:00,12,64,1018,19
46,19961222-12:00,7,52,1018,17
47,19961223-12:00,9,67,1018,15
48,19961224-12:00,5,42,1016,18
49,19961225-12:00,7,49,1017,18
50,19961226-12:00,12,64,1016,19
51,19961227-12:00,10,63,1018,17
52,19961228-12:00,9,56,1018,18
53,19961229-12:00,9,56,1018,18
54,19961231-12:00,11,64,1019,18
55,19970101-12:00,12,68,1019,18
56,19970102-12:00,10,63,1015,17
57,19970103-12:00,9,56,1015,18
58,19970104-12:00,8,52,-9999,18
59,19970106-12:00,13,82,1019,16
60,19970107-12:00,4,45,1020,16
61,19970108-12:00,5,45,1020,17
62,19970109-12:00,7,52,1020,17
63,19970110-12:00,7,59,1019,15
64,19970111-12:00,7,59,1019,15
65,19970112-12:00,9,63,1019,16
66,19970113-12:00,5,45,1016,17
67,19970114-12:00,7,55,1016,16
68,19970115-12:00,7,49,1017,18
69,19970117-12:00,5,48,1016,16
70,19970118-12:00,3,37,1015,18
71,19970119-12:00,12,94,1009,13
72,19970121-12:00,11,88,1017,13
73,19970122-12:00,8,72,1017,13
74,19970123-12:00,8,67,1015,14
75,19970124-12:00,5,55,1014,14
76,19970125-12:00,7,72,1019,12
77,19970126-12:00,9,59,1016,17
78,19970127-12:00,3,37,1016,18
79,19970128-12:00,10,63,1016,17
80,19970129-12:00,10,68,1014,16
81,19970130-12:00,10,56,1012,19
82,19970201-12:00,9,52,1010,19
83,19970202-12:00,11,72,1007,16
84,19970203-12:00,15,88,1010,17
85,19970204-12:00,11,72,1013,16
86,19970205-12:00,5,45,1014,17
87,19970206-12:00,5,42,1014,18
88,19970207-12:00,5,42,1013,18
89,19970208-12:00,10,49,1005,21
90,19970209-12:00,11,64,1009,18
91,19970210-12:00,2,32,1012,19
92,19970211-12:00,7,49,1016,18
93,19970212-12:00,5,40,1016,19
94,19970213-12:00,4,35,1013,20
95,19970214-12:00,9,43,1010,22
96,19970216-12:00,1,28,1012,20
97,19970217-12:00,2,30,1012,20
98,19970218-12:00,6,38,1012,21
99,19970219-12:00,1,27,1016,21
100,19970220-12:00,4,35,1016,20
101,19970221-12:00,5,35,1016,21
102,19970223-12:00,6,33,1013,23
103,19970224-12:00,12,42,1011,26
104,19970227-12:00,8,38,1014,23
105,19970301-12:00,15,45,1010,28
106,19970302-12:00,7,32,1014,25
107,19970303-12:00,6,38,1016,21
108,19970304-12:00,5,33,1015,22
109,19970305-12:00,7,34,1015,24
110,19970306-12:00,7,28,1016,27
111,19970307-12:00,14,50,1015,25
